disease	alpha	l1_ratio	pearson_r	mse	r2	model_run	r2_mean	pearson_r_mean	mse_mean
Alcoholic_liver_disease	10.0	0.99	0.0	16.798757314829295	-8.516379384704287e-05	10.00000-0.99000	-0.005334716649834403	0.0	19.29793739488015
Alcoholic_liver_disease	10.0	0.99	0.0	21.48318364601333	-0.0025749357376025905	10.00000-0.99000	-0.005334716649834403	0.0	19.29793739488015
Alcoholic_liver_disease	10.0	0.99	0.0	17.97950363995648	-0.013927572348250372	10.00000-0.99000	-0.005334716649834403	0.0	19.29793739488015
Alcoholic_liver_disease	10.0	0.99	0.0	18.309417693631833	-0.015590359027474188	10.00000-0.99000	-0.005334716649834403	0.0	19.29793739488015
Alcoholic_liver_disease	10.0	0.99	0.0	25.99080591608804	-0.012774869684951673	10.00000-0.99000	-0.005334716649834403	0.0	19.29793739488015
Alcoholic_liver_disease	10.0	0.99	0.0	17.562466915530813	-4.17187017691667e-05	10.00000-0.99000	-0.005334716649834403	0.0	19.29793739488015
Alcoholic_liver_disease	10.0	0.99	0.0	15.48311530892757	-0.0005694303833672087	10.00000-0.99000	-0.005334716649834403	0.0	19.29793739488015
Alcoholic_liver_disease	10.0	0.99	0.0	22.04153288576654	-0.0067603054496383486	10.00000-0.99000	-0.005334716649834403	0.0	19.29793739488015
Alcoholic_liver_disease	10.0	0.99	0.0	20.925443521337158	-0.0004245720980067258	10.00000-0.99000	-0.005334716649834403	0.0	19.29793739488015
Alcoholic_liver_disease	10.0	0.99	0.0	16.405147106720445	-0.0005982392734367181	10.00000-0.99000	-0.005334716649834403	0.0	19.29793739488015
Alcoholic_liver_disease	10.0	0.95	0.0	16.798757314829295	-8.516379384704287e-05	10.00000-0.95000	-0.005334716649834403	0.0	19.29793739488015
Alcoholic_liver_disease	10.0	0.95	0.0	21.48318364601333	-0.0025749357376025905	10.00000-0.95000	-0.005334716649834403	0.0	19.29793739488015
Alcoholic_liver_disease	10.0	0.95	0.0	17.97950363995648	-0.013927572348250372	10.00000-0.95000	-0.005334716649834403	0.0	19.29793739488015
Alcoholic_liver_disease	10.0	0.95	0.0	18.309417693631833	-0.015590359027474188	10.00000-0.95000	-0.005334716649834403	0.0	19.29793739488015
Alcoholic_liver_disease	10.0	0.95	0.0	25.99080591608804	-0.012774869684951673	10.00000-0.95000	-0.005334716649834403	0.0	19.29793739488015
Alcoholic_liver_disease	10.0	0.95	0.0	17.562466915530813	-4.17187017691667e-05	10.00000-0.95000	-0.005334716649834403	0.0	19.29793739488015
Alcoholic_liver_disease	10.0	0.95	0.0	15.48311530892757	-0.0005694303833672087	10.00000-0.95000	-0.005334716649834403	0.0	19.29793739488015
Alcoholic_liver_disease	10.0	0.95	0.0	22.04153288576654	-0.0067603054496383486	10.00000-0.95000	-0.005334716649834403	0.0	19.29793739488015
Alcoholic_liver_disease	10.0	0.95	0.0	20.925443521337158	-0.0004245720980067258	10.00000-0.95000	-0.005334716649834403	0.0	19.29793739488015
Alcoholic_liver_disease	10.0	0.95	0.0	16.405147106720445	-0.0005982392734367181	10.00000-0.95000	-0.005334716649834403	0.0	19.29793739488015
Alcoholic_liver_disease	10.0	0.9	0.0	16.798757314829295	-8.516379384704287e-05	10.00000-0.90000	-0.005334716649834403	0.0	19.29793739488015
Alcoholic_liver_disease	10.0	0.9	0.0	21.48318364601333	-0.0025749357376025905	10.00000-0.90000	-0.005334716649834403	0.0	19.29793739488015
Alcoholic_liver_disease	10.0	0.9	0.0	17.97950363995648	-0.013927572348250372	10.00000-0.90000	-0.005334716649834403	0.0	19.29793739488015
Alcoholic_liver_disease	10.0	0.9	0.0	18.309417693631833	-0.015590359027474188	10.00000-0.90000	-0.005334716649834403	0.0	19.29793739488015
Alcoholic_liver_disease	10.0	0.9	0.0	25.99080591608804	-0.012774869684951673	10.00000-0.90000	-0.005334716649834403	0.0	19.29793739488015
Alcoholic_liver_disease	10.0	0.9	0.0	17.562466915530813	-4.17187017691667e-05	10.00000-0.90000	-0.005334716649834403	0.0	19.29793739488015
Alcoholic_liver_disease	10.0	0.9	0.0	15.48311530892757	-0.0005694303833672087	10.00000-0.90000	-0.005334716649834403	0.0	19.29793739488015
Alcoholic_liver_disease	10.0	0.9	0.0	22.04153288576654	-0.0067603054496383486	10.00000-0.90000	-0.005334716649834403	0.0	19.29793739488015
Alcoholic_liver_disease	10.0	0.9	0.0	20.925443521337158	-0.0004245720980067258	10.00000-0.90000	-0.005334716649834403	0.0	19.29793739488015
Alcoholic_liver_disease	10.0	0.9	0.0	16.405147106720445	-0.0005982392734367181	10.00000-0.90000	-0.005334716649834403	0.0	19.29793739488015
Alcoholic_liver_disease	10.0	0.7	0.0	16.798757314829295	-8.516379384704287e-05	10.00000-0.70000	-0.005334716649834403	0.0	19.29793739488015
Alcoholic_liver_disease	10.0	0.7	0.0	21.48318364601333	-0.0025749357376025905	10.00000-0.70000	-0.005334716649834403	0.0	19.29793739488015
Alcoholic_liver_disease	10.0	0.7	0.0	17.97950363995648	-0.013927572348250372	10.00000-0.70000	-0.005334716649834403	0.0	19.29793739488015
Alcoholic_liver_disease	10.0	0.7	0.0	18.309417693631833	-0.015590359027474188	10.00000-0.70000	-0.005334716649834403	0.0	19.29793739488015
Alcoholic_liver_disease	10.0	0.7	0.0	25.99080591608804	-0.012774869684951673	10.00000-0.70000	-0.005334716649834403	0.0	19.29793739488015
Alcoholic_liver_disease	10.0	0.7	0.0	17.562466915530813	-4.17187017691667e-05	10.00000-0.70000	-0.005334716649834403	0.0	19.29793739488015
Alcoholic_liver_disease	10.0	0.7	0.0	15.48311530892757	-0.0005694303833672087	10.00000-0.70000	-0.005334716649834403	0.0	19.29793739488015
Alcoholic_liver_disease	10.0	0.7	0.0	22.04153288576654	-0.0067603054496383486	10.00000-0.70000	-0.005334716649834403	0.0	19.29793739488015
Alcoholic_liver_disease	10.0	0.7	0.0	20.925443521337158	-0.0004245720980067258	10.00000-0.70000	-0.005334716649834403	0.0	19.29793739488015
Alcoholic_liver_disease	10.0	0.7	0.0	16.405147106720445	-0.0005982392734367181	10.00000-0.70000	-0.005334716649834403	0.0	19.29793739488015
Alcoholic_liver_disease	10.0	0.5	0.0	16.798757314829295	-8.516379384704287e-05	10.00000-0.50000	-0.005334716649834403	0.0	19.29793739488015
Alcoholic_liver_disease	10.0	0.5	0.0	21.48318364601333	-0.0025749357376025905	10.00000-0.50000	-0.005334716649834403	0.0	19.29793739488015
Alcoholic_liver_disease	10.0	0.5	0.0	17.97950363995648	-0.013927572348250372	10.00000-0.50000	-0.005334716649834403	0.0	19.29793739488015
Alcoholic_liver_disease	10.0	0.5	0.0	18.309417693631833	-0.015590359027474188	10.00000-0.50000	-0.005334716649834403	0.0	19.29793739488015
Alcoholic_liver_disease	10.0	0.5	0.0	25.99080591608804	-0.012774869684951673	10.00000-0.50000	-0.005334716649834403	0.0	19.29793739488015
Alcoholic_liver_disease	10.0	0.5	0.0	17.562466915530813	-4.17187017691667e-05	10.00000-0.50000	-0.005334716649834403	0.0	19.29793739488015
Alcoholic_liver_disease	10.0	0.5	0.0	15.48311530892757	-0.0005694303833672087	10.00000-0.50000	-0.005334716649834403	0.0	19.29793739488015
Alcoholic_liver_disease	10.0	0.5	0.0	22.04153288576654	-0.0067603054496383486	10.00000-0.50000	-0.005334716649834403	0.0	19.29793739488015
Alcoholic_liver_disease	10.0	0.5	0.0	20.925443521337158	-0.0004245720980067258	10.00000-0.50000	-0.005334716649834403	0.0	19.29793739488015
Alcoholic_liver_disease	10.0	0.5	0.0	16.405147106720445	-0.0005982392734367181	10.00000-0.50000	-0.005334716649834403	0.0	19.29793739488015
Alcoholic_liver_disease	10.0	0.2	0.0	16.798757314829295	-8.516379384704287e-05	10.00000-0.20000	-0.005334716649834403	0.0	19.29793739488015
Alcoholic_liver_disease	10.0	0.2	0.0	21.48318364601333	-0.0025749357376025905	10.00000-0.20000	-0.005334716649834403	0.0	19.29793739488015
Alcoholic_liver_disease	10.0	0.2	0.0	17.97950363995648	-0.013927572348250372	10.00000-0.20000	-0.005334716649834403	0.0	19.29793739488015
Alcoholic_liver_disease	10.0	0.2	0.0	18.309417693631833	-0.015590359027474188	10.00000-0.20000	-0.005334716649834403	0.0	19.29793739488015
Alcoholic_liver_disease	10.0	0.2	0.0	25.99080591608804	-0.012774869684951673	10.00000-0.20000	-0.005334716649834403	0.0	19.29793739488015
Alcoholic_liver_disease	10.0	0.2	0.0	17.562466915530813	-4.17187017691667e-05	10.00000-0.20000	-0.005334716649834403	0.0	19.29793739488015
Alcoholic_liver_disease	10.0	0.2	0.0	15.48311530892757	-0.0005694303833672087	10.00000-0.20000	-0.005334716649834403	0.0	19.29793739488015
