disease	alpha	l1_ratio	pearson_r	r2	mse	model_run
Alcoholic_liver_disease	0.001	0.95	0.2954199157127498	0.08184793533939705	17.698607323067364	0.00100-0.95000
Alcoholic_liver_disease	0.001	0.0001	0.27368941044988415	0.05251636198648768	18.26401257446522	0.00100-0.00010
Alcoholic_liver_disease	0.001	0.95	0.2954199157127498	0.08184793533939705	17.698607323067364	0.00100-0.95000
