Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter XI Diseases of the digestive system,Alcoholic liver disease,KLK13,Kallikrein-13,48637,145,0.61 [0.44-0.84],0.0024579516050455
Chapter XI Diseases of the digestive system,Alcoholic liver disease,KLK14,Kallikrein-14,50162,151,0.86 [0.63-1.17],0.3446674456113985
Chapter XI Diseases of the digestive system,Alcoholic liver disease,KLK15,Kallikrein-15,42973,127,1.23 [0.88-1.72],0.2283711192601841
Chapter XI Diseases of the digestive system,Alcoholic liver disease,KLK3,Prostate-specific antigen,43246,129,0.97 [0.82-1.15],0.7049400321683803
Chapter XI Diseases of the digestive system,Alcoholic liver disease,KLK4,Kallikrein-4,50162,151,1.54 [1.28-1.85],3.602303133390916e-06
Chapter XI Diseases of the digestive system,Alcoholic liver disease,KLK6,Kallikrein-6,49813,151,0.95 [0.60-1.51],0.8282323837227665
Chapter XI Diseases of the digestive system,Alcoholic liver disease,KLK7,Kallikrein-7,41210,124,0.72 [0.45-1.14],0.1623612558429064
Chapter XI Diseases of the digestive system,Alcoholic liver disease,KLK8,Kallikrein-8,48064,146,1.47 [0.99-2.17],0.0540131865554463
Chapter XI Diseases of the digestive system,Alcoholic liver disease,KLKB1,Plasma kallikrein,42435,130,0.52 [0.35-0.78],0.001385460019853
Chapter XI Diseases of the digestive system,Alcoholic liver disease,KLRB1,Killer cell lectin-like receptor subfamily B member 1,50281,150,1.33 [0.92-1.91],0.1299087069156677
Chapter XI Diseases of the digestive system,Alcoholic liver disease,KLRC1,NKG2-A/NKG2-B type II integral membrane protein,41859,122,1.41 [1.18-1.68],0.000148521368374
Chapter XI Diseases of the digestive system,Alcoholic liver disease,KLRD1,Natural killer cells antigen CD94,50281,150,1.54 [1.14-2.08],0.0046004898204481
Chapter XI Diseases of the digestive system,Alcoholic liver disease,KLRF1,Killer cell lectin-like receptor subfamily F member 1,41993,123,1.58 [1.22-2.05],0.000482427349462
Chapter XI Diseases of the digestive system,Alcoholic liver disease,KLRK1,NKG2-D type II integral membrane protein,43149,128,1.36 [0.94-1.97],0.0982005741913803
Chapter XI Diseases of the digestive system,Alcoholic liver disease,KRT14,"Keratin, type I cytoskeletal 14",47059,141,1.00 [0.59-1.67],0.9876396530997806
Chapter XI Diseases of the digestive system,Alcoholic liver disease,KRT17,"Keratin, type I cytoskeletal 17",41817,121,0.83 [0.52-1.34],0.4487004863149291
Chapter XI Diseases of the digestive system,Alcoholic liver disease,KRT18,"Keratin, type I cytoskeletal 18",49510,148,2.32 [2.08-2.58],1.6243240927530889e-52
Chapter XI Diseases of the digestive system,Alcoholic liver disease,KRT19,"Keratin, type I cytoskeletal 19",49584,147,1.52 [1.26-1.83],1.0911901508464851e-05
Chapter XI Diseases of the digestive system,Alcoholic liver disease,KRT5,"Keratin, type II cytoskeletal 5",48597,148,1.30 [1.01-1.68],0.0430804748432554
Chapter XI Diseases of the digestive system,Alcoholic liver disease,KRT6C,"Keratin, type II cytoskeletal 6C",41817,121,1.41 [1.01-1.97],0.0465247920486276
Chapter XI Diseases of the digestive system,Alcoholic liver disease,KRT8,"Keratin, type II cytoskeletal 8",41859,122,1.90 [1.75-2.07],9.45162337168222e-50
Chapter XI Diseases of the digestive system,Alcoholic liver disease,KYAT1,Kynurenine--oxoglutarate transaminase 1,49647,150,1.84 [1.50-2.27],1.0542081260048083e-08
Chapter XI Diseases of the digestive system,Alcoholic liver disease,KYNU,Kynureninase,50281,150,5.11 [4.02-6.51],4.597364729350862e-40
Chapter XI Diseases of the digestive system,Alcoholic liver disease,L1CAM,Neural cell adhesion molecule L1,49895,151,1.52 [0.94-2.47],0.0876003691116687
Chapter XI Diseases of the digestive system,Alcoholic liver disease,L3HYPDH,Trans-3-hydroxy-L-proline dehydratase,43249,127,1.52 [1.28-1.82],3.2012009740769177e-06
Chapter XI Diseases of the digestive system,Alcoholic liver disease,LACRT,Extracellular glycoprotein lacritin,42966,126,0.91 [0.61-1.36],0.6442550453466865
Chapter XI Diseases of the digestive system,Alcoholic liver disease,LACTB2,Endoribonuclease LACTB2,49731,150,1.05 [0.85-1.31],0.6289147093397816
Chapter XI Diseases of the digestive system,Alcoholic liver disease,LAG3,Lymphocyte activation gene 3 protein,49510,148,1.57 [1.18-2.09],0.0021351176879081
Chapter XI Diseases of the digestive system,Alcoholic liver disease,LAIR1,Leukocyte-associated immunoglobulin-like receptor 1,49698,150,1.83 [1.37-2.45],4.007120840509721e-05
Chapter XI Diseases of the digestive system,Alcoholic liver disease,LAIR2,Leukocyte-associated immunoglobulin-like receptor 2,49354,143,1.07 [0.92-1.24],0.3863255759870877
Chapter XI Diseases of the digestive system,Alcoholic liver disease,LAMA1,Laminin subunit alpha-1,41817,121,1.41 [1.12-1.77],0.0035151496847638
Chapter XI Diseases of the digestive system,Alcoholic liver disease,LAMA4,Laminin subunit alpha-4,49948,152,2.29 [1.59-3.30],9.80303084768934e-06
Chapter XI Diseases of the digestive system,Alcoholic liver disease,LAMB1,Laminin subunit beta-1,42091,120,5.25 [2.94-9.38],2.042157551417689e-08
Chapter XI Diseases of the digestive system,Alcoholic liver disease,LAMP1,Lysosome-associated membrane glycoprotein 1,42044,125,1.61 [1.32-1.97],2.957112958136725e-06
Chapter XI Diseases of the digestive system,Alcoholic liver disease,LAMP2,Lysosome-associated membrane glycoprotein 2,48237,146,14.01 [6.97-28.15],1.2420296879766905e-13
Chapter XI Diseases of the digestive system,Alcoholic liver disease,LAMP3,Lysosome-associated membrane glycoprotein 3,50197,148,1.57 [1.22-2.02],0.0005507177509873
Chapter XI Diseases of the digestive system,Alcoholic liver disease,LAMTOR5,Ragulator complex protein LAMTOR5,43049,127,1.30 [0.92-1.84],0.1305766674853474
Chapter XI Diseases of the digestive system,Alcoholic liver disease,LAP3,Cytosol aminopeptidase,48809,141,1.60 [1.26-2.03],0.0001152602520739
Chapter XI Diseases of the digestive system,Alcoholic liver disease,LARP1,La-related protein 1,43049,127,1.07 [0.83-1.39],0.5820164661997989
Chapter XI Diseases of the digestive system,Alcoholic liver disease,LAT,Linker for activation of T-cells family member 1,50281,150,0.92 [0.77-1.11],0.3931376591097547
Chapter XI Diseases of the digestive system,Alcoholic liver disease,LAT2,Linker for activation of T-cells family member 2,49510,148,0.93 [0.82-1.04],0.1917690661094159
Chapter XI Diseases of the digestive system,Alcoholic liver disease,LATS1,Serine/threonine-protein kinase LATS1,41993,123,0.94 [0.76-1.15],0.5196703445870997
Chapter XI Diseases of the digestive system,Alcoholic liver disease,LAYN,Layilin,49269,142,2.55 [1.81-3.58],6.690863499248497e-08
Chapter XI Diseases of the digestive system,Alcoholic liver disease,LBP,Lipopolysaccharide-binding protein,49930,149,1.24 [0.97-1.58],0.0805198809585469
Chapter XI Diseases of the digestive system,Alcoholic liver disease,LBR,Delta(14)-sterol reductase LBR,50181,152,1.03 [0.85-1.26],0.7406960496148856
Chapter XI Diseases of the digestive system,Alcoholic liver disease,LCAT,Phosphatidylcholine-sterol acyltransferase,43282,131,0.36 [0.23-0.56],9.079640987033956e-06
Chapter XI Diseases of the digestive system,Alcoholic liver disease,LCN15,Lipocalin-15,43180,130,1.35 [1.10-1.66],0.0041632319630752
Chapter XI Diseases of the digestive system,Alcoholic liver disease,LCN2,Neutrophil gelatinase-associated lipocalin,48229,147,1.21 [0.85-1.71],0.287230664682262
Chapter XI Diseases of the digestive system,Alcoholic liver disease,LCP1,Plastin-2,43246,129,1.55 [1.15-2.10],0.0044984887236863
Chapter XI Diseases of the digestive system,Alcoholic liver disease,LDLR,Low-density lipoprotein receptor,49859,147,0.88 [0.67-1.16],0.3499234801962398
Chapter XI Diseases of the digestive system,Alcoholic liver disease,LDLRAP1,Low density lipoprotein receptor adapter protein 1,43180,130,1.00 [0.85-1.18],0.9952323323795836
Chapter XI Diseases of the digestive system,Alcoholic liver disease,LECT2,Leukocyte cell-derived chemotaxin-2,43249,127,1.23 [0.97-1.57],0.093877345022246
Chapter XI Diseases of the digestive system,Alcoholic liver disease,LEFTY2,Left-right determination factor 2,50086,151,1.76 [1.35-2.29],2.947580335006398e-05
Chapter XI Diseases of the digestive system,Alcoholic liver disease,LEG1,Protein LEG1 homolog,40872,124,1.51 [1.21-1.88],0.0002287572966874
Chapter XI Diseases of the digestive system,Alcoholic liver disease,LELP1,Late cornified envelope-like proline-rich protein 1,41859,122,1.14 [0.92-1.40],0.2214342764145566
Chapter XI Diseases of the digestive system,Alcoholic liver disease,LEO1,RNA polymerase-associated protein LEO1,43180,130,1.91 [1.45-2.52],4.020234879731617e-06
Chapter XI Diseases of the digestive system,Alcoholic liver disease,LEP,Leptin,49731,150,1.16 [0.94-1.44],0.1620528465156934
Chapter XI Diseases of the digestive system,Alcoholic liver disease,LEPR,Leptin receptor,49731,150,3.32 [2.61-4.23],2.17586109706604e-22
Chapter XI Diseases of the digestive system,Alcoholic liver disease,LETM1,Mitochondrial proton/calcium exchanger protein,43180,130,1.87 [1.49-2.35],6.223797560809455e-08
Chapter XI Diseases of the digestive system,Alcoholic liver disease,LGALS1,Galectin-1,49731,150,2.23 [1.57-3.17],6.882335626061324e-06
Chapter XI Diseases of the digestive system,Alcoholic liver disease,LGALS3,Galectin-3,49864,148,1.21 [0.75-1.94],0.4315418723562166
Chapter XI Diseases of the digestive system,Alcoholic liver disease,LGALS3BP,Galectin-3-binding protein,43311,131,2.72 [2.18-3.40],1.9223875462789115e-18
Chapter XI Diseases of the digestive system,Alcoholic liver disease,LGALS4,Galectin-4,49698,150,2.90 [2.38-3.54],3.5105276547937003e-26
Chapter XI Diseases of the digestive system,Alcoholic liver disease,LGALS7_LGALS7B,Galectin-7,49596,147,1.36 [1.02-1.81],0.0348081842563279
Chapter XI Diseases of the digestive system,Alcoholic liver disease,LGALS8,Galectin-8,50181,152,1.01 [0.80-1.27],0.9375619703336048
Chapter XI Diseases of the digestive system,Alcoholic liver disease,LGALS9,Galectin-9,49699,152,4.78 [3.40-6.73],2.429442519338571e-19
Chapter XI Diseases of the digestive system,Alcoholic liver disease,LGMN,Legumain,49948,152,4.27 [3.05-5.97],2.2711370173108802e-17
Chapter XI Diseases of the digestive system,Alcoholic liver disease,LHB,Lutropin subunit beta,48578,144,0.91 [0.76-1.10],0.3336825565429024
