Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter XI Diseases of the digestive system,Alcoholic liver disease,A1BG,Alpha-1B-glycoprotein,43311,131,3.82 [1.41-10.37],0.0084514474422056
Chapter XI Diseases of the digestive system,Alcoholic liver disease,AAMDC,Mth938 domain-containing protein,42091,120,0.83 [0.60-1.16],0.2810984731568456
Chapter XI Diseases of the digestive system,Alcoholic liver disease,AARSD1,Alanyl-tRNA editing protein Aarsd1,49510,148,1.09 [0.84-1.41],0.5284974568990481
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ABCA2,ATP-binding cassette sub-family A member 2,41817,121,2.72 [2.06-3.61],2.7291307078559666e-12
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ABHD14B,Protein ABHD14B,49195,142,0.95 [0.73-1.24],0.7041034489720626
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ABL1,Tyrosine-protein kinase ABL1,49510,148,0.95 [0.76-1.18],0.6192565712765885
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ABO,Histo-blood group ABO system transferase,43282,131,1.06 [0.94-1.19],0.3231068217063182
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ABRAXAS2,BRISC complex subunit Abraxas 2,41817,121,0.86 [0.66-1.12],0.2701306383454228
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ACAA1,"3-ketoacyl-CoA thiolase, peroxisomal",48578,144,2.44 [2.18-2.73],1.8334444177498555e-55
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ACADM,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",42463,126,1.10 [0.88-1.37],0.3969308712234445
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ACADSB,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial",43249,127,1.18 [0.98-1.41],0.0755713712383398
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ACAN,Aggrecan core protein,49256,150,1.52 [0.91-2.54],0.1068834338130016
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ACE,Angiotensin-converting enzyme,43282,131,2.04 [1.11-3.73],0.0209964050623212
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ACE2,Angiotensin-converting enzyme 2,48828,141,4.38 [3.69-5.20],1.7137092332743594e-63
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ACHE,Acetylcholinesterase,42307,127,3.92 [3.01-5.12],8.627415238124424e-24
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ACOT13,Acyl-coenzyme A thioesterase 13,43071,128,1.08 [0.94-1.25],0.275887952334217
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ACOX1,Peroxisomal acyl-coenzyme A oxidase 1,49731,150,1.24 [0.96-1.60],0.1050454893815581
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ACP1,Low molecular weight phosphotyrosine protein phosphatase,41993,123,0.52 [0.33-0.80],0.0031415246397827
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ACP5,Tartrate-resistant acid phosphatase type 5,49945,149,3.77 [3.10-4.58],3.0446651030689996e-40
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ACP6,Lysophosphatidic acid phosphatase type 6,50086,151,1.09 [0.88-1.37],0.4269187230274653
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ACRBP,Acrosin-binding protein,43049,127,1.03 [0.67-1.58],0.905855993697319
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ACRV1,Acrosomal protein SP-10,41993,123,1.04 [0.86-1.25],0.6947030409300023
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ACSL1,Long-chain-fatty-acid--CoA ligase 1,41817,121,1.16 [0.75-1.80],0.5131813953914666
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ACTA2,"Actin, aortic smooth muscle",48828,141,1.55 [1.21-1.97],0.0004026098172755
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ACTN2,Alpha-actinin-2,41817,121,1.33 [1.04-1.69],0.0213410831270332
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ACTN4,Alpha-actinin-4,48809,141,1.10 [0.71-1.72],0.6694787637996191
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ACVRL1,Serine/threonine-protein kinase receptor R3,49273,143,3.54 [2.25-5.59],4.93495123342967e-08
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ACY1,Aminoacylase-1,49731,150,4.36 [3.68-5.17],2.500544117722244e-64
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ACY3,N-acyl-aromatic-L-amino acid amidohydrolase,41817,121,2.74 [2.21-3.40],4.7521067524812364e-20
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ACYP1,Acylphosphatase-1,42148,127,0.93 [0.71-1.20],0.5722494674232244
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ADA,Adenosine deaminase,50281,150,2.55 [1.91-3.40],2.229670270879148e-10
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ADA2,Adenosine deaminase 2,49436,149,4.34 [3.44-5.49],6.7394565433744e-35
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ADAM12,Disintegrin and metalloproteinase domain-containing protein 12,41993,123,1.32 [0.85-2.05],0.2097786607441433
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ADAM15,Disintegrin and metalloproteinase domain-containing protein 15,48828,141,9.33 [6.09-14.29],1.0659664039591183e-24
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ADAM22,Disintegrin and metalloproteinase domain-containing protein 22,49354,143,0.38 [0.25-0.56],2.229032488036213e-06
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ADAM23,Disintegrin and metalloproteinase domain-containing protein 23,50281,150,0.67 [0.48-0.95],0.0254622736248451
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ADAM8,Disintegrin and metalloproteinase domain-containing protein 8,50097,152,2.19 [1.44-3.32],0.0002333245423646
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ADAM9,Disintegrin and metalloproteinase domain-containing protein 9,43071,128,4.26 [3.11-5.84],2.0520684655003572e-19
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ADAMTS1,A disintegrin and metalloproteinase with thrombospondin motifs 1,41993,123,1.93 [1.33-2.82],0.0006091320113295
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ADAMTS13,A disintegrin and metalloproteinase with thrombospondin motifs 13,50349,150,1.34 [0.73-2.45],0.3481505160402115
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ADAMTS15,A disintegrin and metalloproteinase with thrombospondin motifs 15,49510,148,1.68 [1.18-2.38],0.0036244895534453
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ADAMTS16,A disintegrin and metalloproteinase with thrombospondin motifs 16,48828,141,1.48 [1.08-2.02],0.0137231757905431
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ADAMTS4,A disintegrin and metalloproteinase with thrombospondin motifs 4,41993,123,2.08 [1.48-2.91],2.001907225333552e-05
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ADAMTS8,A disintegrin and metalloproteinase with thrombospondin motifs 8,49895,151,0.61 [0.45-0.83],0.0016965061703237
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ADAMTSL2,ADAMTS-like protein 2,43246,129,12.58 [9.97-15.86],1.4011415227311671e-101
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ADAMTSL4,ADAMTS-like protein 4,42091,120,4.11 [2.68-6.31],8.576232263241444e-11
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ADAMTSL5,ADAMTS-like protein 5,43249,127,1.47 [0.99-2.17],0.053483152695383
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ADCYAP1R1,Pituitary adenylate cyclase-activating polypeptide type I receptor,48578,144,0.49 [0.27-0.90],0.0216368994694765
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ADD1,Alpha-adducin,42307,127,0.70 [0.55-0.89],0.0035644801181901
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ADGRB3,Adhesion G protein-coupled receptor B3,49273,143,2.86 [1.89-4.32],5.964378326381212e-07
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ADGRD1,Adhesion G-protein coupled receptor D1,42307,127,6.30 [4.78-8.30],3.602552513150597e-39
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ADGRE1,Adhesion G protein-coupled receptor E1,43071,128,2.90 [2.26-3.72],6.875622331394303e-17
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ADGRE2,Adhesion G protein-coupled receptor E2,49948,152,6.87 [4.58-10.31],1.50672509533716e-20
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ADGRE5,Adhesion G protein-coupled receptor E5,50103,150,4.98 [3.81-6.52],1.041388004086016e-31
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ADGRF5,Adhesion G protein-coupled receptor F5,43249,127,4.01 [2.42-6.63],6.761588282607555e-08
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ADGRG1,Adhesion G-protein coupled receptor G1,49510,148,2.32 [2.06-2.62],5.449584034178445e-42
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ADGRG2,Adhesion G-protein coupled receptor G2,49731,150,2.39 [1.40-4.09],0.0014209763745974
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ADGRV1,Adhesion G-protein coupled receptor V1,41859,122,1.13 [0.91-1.40],0.2844577535478789
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ADH1B,All-trans-retinol dehydrogenase,42307,127,1.98 [1.66-2.36],3.036173767039082e-14
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ADH4,All-trans-retinol dehydrogenase [NAD(+)] ADH4,48828,141,2.01 [1.70-2.38],4.981751508267449e-16
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ADIPOQ,Adiponectin,43311,131,1.27 [1.00-1.62],0.0536581181223228
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ADM,Pro-adrenomedullin,50162,151,6.36 [3.70-10.93],2.326587769774065e-11
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ADRA2A,Alpha-2A adrenergic receptor,41817,121,1.12 [0.90-1.40],0.3003079063230288
Chapter XI Diseases of the digestive system,Alcoholic liver disease,AFAP1,Actin filament-associated protein 1,42307,127,0.78 [0.63-0.98],0.0290731909903564
Chapter XI Diseases of the digestive system,Alcoholic liver disease,AFM,Afamin,43311,131,6.17 [2.80-13.56],6.099535466490332e-06
Chapter XI Diseases of the digestive system,Alcoholic liver disease,AFP,Alpha-fetoprotein,49194,143,1.87 [1.51-2.32],1.4535750267601604e-08
Chapter XI Diseases of the digestive system,Alcoholic liver disease,AGBL2,Cytosolic carboxypeptidase 2,41859,122,1.10 [0.90-1.34],0.348558010113604
Chapter XI Diseases of the digestive system,Alcoholic liver disease,AGER,Advanced glycosylation end product-specific receptor,49615,150,0.68 [0.48-0.97],0.035598010808955
Chapter XI Diseases of the digestive system,Alcoholic liver disease,AGR2,Anterior gradient protein 2 homolog,48203,147,1.15 [1.00-1.33],0.0583654985679353
Chapter XI Diseases of the digestive system,Alcoholic liver disease,AGR3,Anterior gradient protein 3,48495,143,1.27 [1.02-1.60],0.0350260261987931
Chapter XI Diseases of the digestive system,Alcoholic liver disease,AGRN,Agrin,49948,152,2.07 [1.50-2.84],7.63341494885133e-06
Chapter XI Diseases of the digestive system,Alcoholic liver disease,AGRP,Agouti-related protein,50281,150,1.43 [1.08-1.88],0.0118297134461933
Chapter XI Diseases of the digestive system,Alcoholic liver disease,AGT,Angiotensinogen,43282,131,1.29 [0.63-2.64],0.4818787836434187
Chapter XI Diseases of the digestive system,Alcoholic liver disease,AGXT,Serine--pyruvate aminotransferase,49731,150,2.97 [2.56-3.45],6.5665877926002075e-47
Chapter XI Diseases of the digestive system,Alcoholic liver disease,AHCY,Adenosylhomocysteinase,49731,150,1.24 [1.01-1.51],0.0416513183474014
Chapter XI Diseases of the digestive system,Alcoholic liver disease,AHNAK,Neuroblast differentiation-associated protein AHNAK,42091,120,1.29 [0.78-2.14],0.3152905179087374
Chapter XI Diseases of the digestive system,Alcoholic liver disease,AHNAK2,Protein AHNAK2,42091,120,0.81 [0.44-1.49],0.500832507259755
Chapter XI Diseases of the digestive system,Alcoholic liver disease,AHSA1,Activator of 90 kDa heat shock protein ATPase homolog 1,43049,127,0.89 [0.68-1.18],0.4213655495923867
Chapter XI Diseases of the digestive system,Alcoholic liver disease,AHSG,Alpha-2-HS-glycoprotein,43282,131,1.18 [0.64-2.18],0.6051346481269428
Chapter XI Diseases of the digestive system,Alcoholic liver disease,AHSP,Alpha-hemoglobin-stabilizing protein,49675,150,1.19 [1.00-1.41],0.0484763589169735
Chapter XI Diseases of the digestive system,Alcoholic liver disease,AIDA,"Axin interactor, dorsalization-associated protein",42069,125,0.97 [0.78-1.20],0.7690644368452489
Chapter XI Diseases of the digestive system,Alcoholic liver disease,AIF1,Allograft inflammatory factor 1,48578,144,0.93 [0.70-1.24],0.6387603731348478
Chapter XI Diseases of the digestive system,Alcoholic liver disease,AIF1L,Allograft inflammatory factor 1-like,42091,120,1.18 [0.90-1.54],0.230224679851916
Chapter XI Diseases of the digestive system,Alcoholic liver disease,AIFM1,"Apoptosis-inducing factor 1, mitochondrial",49429,148,1.58 [1.39-1.79],4.707885602938133e-13
Chapter XI Diseases of the digestive system,Alcoholic liver disease,AK1,Adenylate kinase isoenzyme 1,49731,150,0.98 [0.78-1.23],0.8899830193341339
Chapter XI Diseases of the digestive system,Alcoholic liver disease,AK2,"Adenylate kinase 2, mitochondrial",43149,128,1.10 [0.94-1.29],0.2496255692997946
Chapter XI Diseases of the digestive system,Alcoholic liver disease,AKAP12,A-kinase anchor protein 12,42307,127,0.73 [0.31-1.70],0.4627201104494666
Chapter XI Diseases of the digestive system,Alcoholic liver disease,AKR1B1,Aldo-keto reductase family 1 member B1,48578,144,0.96 [0.79-1.18],0.7142834956022329
Chapter XI Diseases of the digestive system,Alcoholic liver disease,AKR1B10,Aldo-keto reductase family 1 member B10,42069,125,2.33 [2.05-2.66],1.442109811994592e-36
Chapter XI Diseases of the digestive system,Alcoholic liver disease,AKR1C4,Aldo-keto reductase family 1 member C4,48828,141,1.33 [1.08-1.65],0.0081283190300571
Chapter XI Diseases of the digestive system,Alcoholic liver disease,AKR7L,Aflatoxin B1 aldehyde reductase member 4,41993,123,2.15 [1.87-2.48],2.248696731057388e-26
Chapter XI Diseases of the digestive system,Alcoholic liver disease,AKT1S1,Proline-rich AKT1 substrate 1,48597,148,0.95 [0.76-1.19],0.6544776534024441
Chapter XI Diseases of the digestive system,Alcoholic liver disease,AKT2,RAC-beta serine/threonine-protein kinase,43180,130,0.90 [0.79-1.02],0.0997106679456258
Chapter XI Diseases of the digestive system,Alcoholic liver disease,AKT3,RAC-gamma serine/threonine-protein kinase,48340,143,0.79 [0.61-1.03],0.0820988266741403
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ALCAM,CD166 antigen,50349,150,22.90 [12.81-40.93],4.3500557970238037e-26
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ALDH1A1,Retinal dehydrogenase 1,49760,150,2.96 [2.49-3.52],6.933683262550663e-35
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ALDH2,"Aldehyde dehydrogenase, mitochondrial",43049,127,1.59 [1.35-1.87],2.0347157180999133e-08
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ALDH3A1,"Aldehyde dehydrogenase, dimeric NADP-preferring",49584,147,1.57 [1.39-1.78],7.387400390695071e-13
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ALDH5A1,"Succinate-semialdehyde dehydrogenase, mitochondrial",43180,130,3.09 [2.55-3.75],3.413559979035893e-30
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ALMS1,Alstrom syndrome protein 1,42463,126,0.95 [0.64-1.41],0.803055495366719
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ALPI,Intestinal-type alkaline phosphatase,41993,123,1.08 [0.94-1.25],0.2664370657932866
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ALPP,"Alkaline phosphatase, placental type",49510,148,1.17 [1.04-1.32],0.0096845979817957
Chapter XI Diseases of the digestive system,Alcoholic liver disease,AMBN,Ameloblastin,48809,141,0.50 [0.27-0.95],0.0352602728637958
Chapter XI Diseases of the digestive system,Alcoholic liver disease,AMBP,Protein AMBP,50092,151,0.38 [0.18-0.78],0.0080762925196332
Chapter XI Diseases of the digestive system,Alcoholic liver disease,AMDHD2,N-acetylglucosamine-6-phosphate deacetylase,43246,129,1.15 [0.60-2.20],0.6710248256470676
Chapter XI Diseases of the digestive system,Alcoholic liver disease,AMFR,E3 ubiquitin-protein ligase AMFR,48597,148,1.30 [1.07-1.58],0.0073354712030103
Chapter XI Diseases of the digestive system,Alcoholic liver disease,AMIGO1,Amphoterin-induced protein 1,42069,125,1.07 [0.77-1.48],0.6863107223168861
Chapter XI Diseases of the digestive system,Alcoholic liver disease,AMIGO2,Amphoterin-induced protein 2,49510,148,7.63 [4.91-11.87],1.8359747660164664e-19
Chapter XI Diseases of the digestive system,Alcoholic liver disease,AMN,Protein amnionless,48809,141,0.93 [0.69-1.27],0.6545819882733765
Chapter XI Diseases of the digestive system,Alcoholic liver disease,AMOT,Angiomotin,42307,127,1.43 [0.95-2.16],0.0875105849401925
Chapter XI Diseases of the digestive system,Alcoholic liver disease,AMOTL2,Angiomotin-like protein 2,42887,127,0.94 [0.65-1.37],0.7517959503660688
Chapter XI Diseases of the digestive system,Alcoholic liver disease,AMPD3,AMP deaminase 3,43149,128,0.80 [0.63-1.02],0.0691233791440656
Chapter XI Diseases of the digestive system,Alcoholic liver disease,AMY1A_AMY1B_AMY1C,Alpha-amylase 1A_Alpha-amylase 1B_Alpha-amylase 1C,40541,121,0.87 [0.61-1.25],0.447930030888138
Chapter XI Diseases of the digestive system,Alcoholic liver disease,AMY2A,Pancreatic alpha-amylase,47828,140,0.68 [0.50-0.92],0.0125533385827923
Chapter XI Diseases of the digestive system,Alcoholic liver disease,AMY2B,Alpha-amylase 2B,46364,138,0.64 [0.47-0.87],0.0041100176769771
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ANG,Angiogenin,49599,149,0.83 [0.53-1.29],0.4022117457014075
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ANGPT1,Angiopoietin-1,49545,152,1.12 [0.94-1.32],0.2145956131678744
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ANGPT2,Angiopoietin-2,50162,151,3.88 [2.87-5.25],1.5188714491036813e-18
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ANGPTL1,Angiopoietin-related protein 1,49007,147,7.52 [4.89-11.57],3.6653735411631054e-20
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ANGPTL2,Angiopoietin-related protein 2,49783,152,5.24 [3.86-7.11],1.7571163858017566e-26
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ANGPTL3,Angiopoietin-related protein 3,49766,149,1.82 [1.21-2.73],0.0038715967794234
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ANGPTL4,Angiopoietin-related protein 4,49865,152,2.20 [1.62-3.00],4.976283226419018e-07
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ANGPTL7,Angiopoietin-related protein 7,50162,151,3.66 [2.87-4.68],2.02231662309564e-25
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ANK2,Ankyrin-2,41817,121,1.24 [1.02-1.51],0.0272170436458519
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ANKMY2,Ankyrin repeat and MYND domain-containing protein 2,41993,123,0.82 [0.66-1.02],0.0749796820334968
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ANKRA2,Ankyrin repeat family A protein 2,41724,127,0.77 [0.55-1.07],0.1187926383427111
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ANKRD54,Ankyrin repeat domain-containing protein 54,48578,144,0.98 [0.75-1.26],0.8520851587409735
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ANP32C,Acidic leucine-rich nuclear phosphoprotein 32 family member C,42091,120,1.23 [0.85-1.79],0.2663952786482212
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ANPEP,Aminopeptidase N,49850,149,10.90 [8.17-14.55],4.436914838852463e-59
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ANXA1,Annexin A1,42066,127,0.83 [0.55-1.24],0.3539452036510166
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ANXA10,Annexin A10,48597,148,1.39 [1.20-1.61],9.824635690988734e-06
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ANXA11,Annexin A11,49590,146,0.86 [0.70-1.07],0.1732390689172815
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ANXA2,Annexin A2,41453,118,1.23 [1.00-1.52],0.0510560501226386
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ANXA3,Annexin A3,50097,152,0.89 [0.72-1.09],0.2559926186285253
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ANXA4,Annexin A4,49496,149,0.98 [0.80-1.19],0.8084940464538286
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ANXA5,Annexin A5,48435,148,2.02 [1.32-3.08],0.0010954324317996
Chapter XI Diseases of the digestive system,Alcoholic liver disease,AOC1,Amiloride-sensitive amine oxidase [copper-containing],48809,141,0.87 [0.65-1.17],0.364820023227304
Chapter XI Diseases of the digestive system,Alcoholic liver disease,AOC3,Membrane primary amine oxidase,49930,149,7.77 [5.23-11.55],3.540723040304002e-24
Chapter XI Diseases of the digestive system,Alcoholic liver disease,AP1G2,AP-1 complex subunit gamma-like 2,43049,127,1.02 [0.83-1.26],0.8416760330392259
Chapter XI Diseases of the digestive system,Alcoholic liver disease,AP2B1,AP-2 complex subunit beta,42069,125,0.86 [0.60-1.24],0.426596473242088
Chapter XI Diseases of the digestive system,Alcoholic liver disease,AP3B1,AP-3 complex subunit beta-1,43071,128,1.02 [0.82-1.26],0.8809658137695379
Chapter XI Diseases of the digestive system,Alcoholic liver disease,AP3S2,AP-3 complex subunit sigma-2,43149,128,0.86 [0.60-1.23],0.4018485412587617
Chapter XI Diseases of the digestive system,Alcoholic liver disease,APBB1IP,Amyloid beta A4 precursor protein-binding family B member 1-interacting protein,49510,148,1.17 [0.87-1.57],0.3011624906025629
Chapter XI Diseases of the digestive system,Alcoholic liver disease,APCS,Serum amyloid P-component,42924,129,0.37 [0.24-0.57],6.448714449848554e-06
Chapter XI Diseases of the digestive system,Alcoholic liver disease,APEX1,DNA-(apurinic or apyrimidinic site) endonuclease,50002,150,1.09 [0.86-1.38],0.49708812643911
Chapter XI Diseases of the digestive system,Alcoholic liver disease,APLP1,Amyloid-like protein 1,49731,150,0.81 [0.61-1.07],0.1428805352362113
Chapter XI Diseases of the digestive system,Alcoholic liver disease,APOA1,Apolipoprotein A-I,43311,131,1.95 [1.22-3.12],0.0054358901032491
Chapter XI Diseases of the digestive system,Alcoholic liver disease,APOA2,Apolipoprotein A-II,43282,131,2.16 [1.58-2.94],1.0564089282032125e-06
Chapter XI Diseases of the digestive system,Alcoholic liver disease,APOA4,Apolipoprotein A-IV,43311,131,0.53 [0.31-0.88],0.0153004911617867
Chapter XI Diseases of the digestive system,Alcoholic liver disease,APOB,Apolipoprotein B-100,43282,131,1.02 [0.49-2.12],0.9521659849434452
Chapter XI Diseases of the digestive system,Alcoholic liver disease,APOBR,Apolipoprotein B receptor,42091,120,1.23 [0.81-1.86],0.3302184723581919
Chapter XI Diseases of the digestive system,Alcoholic liver disease,APOC1,Apolipoprotein C-I,43231,131,1.34 [0.89-2.02],0.1676483422559552
Chapter XI Diseases of the digestive system,Alcoholic liver disease,APOD,Apolipoprotein D,41361,128,0.81 [0.50-1.29],0.3730860100091201
Chapter XI Diseases of the digestive system,Alcoholic liver disease,APOE,Apolipoprotein E,43311,131,1.25 [1.06-1.47],0.0064482265429932
Chapter XI Diseases of the digestive system,Alcoholic liver disease,APOF,Apolipoprotein F,43282,131,5.24 [2.28-12.04],9.388205933044323e-05
Chapter XI Diseases of the digestive system,Alcoholic liver disease,APOH,Beta-2-glycoprotein 1,49760,150,1.17 [0.80-1.71],0.408531811417783
Chapter XI Diseases of the digestive system,Alcoholic liver disease,APOL1,Apolipoprotein L1,43282,131,0.69 [0.49-0.97],0.0327853830739007
Chapter XI Diseases of the digestive system,Alcoholic liver disease,APOM,Apolipoprotein M,49849,149,0.87 [0.53-1.43],0.5812718887336592
Chapter XI Diseases of the digestive system,Alcoholic liver disease,APP,Amyloid-beta precursor protein,49686,150,1.25 [1.01-1.55],0.0364119503819774
Chapter XI Diseases of the digestive system,Alcoholic liver disease,APPL2,DCC-interacting protein 13-beta,42307,127,0.83 [0.72-0.96],0.0139077216334412
Chapter XI Diseases of the digestive system,Alcoholic liver disease,APRT,Adenine phosphoribosyltransferase,49272,143,0.85 [0.62-1.15],0.2922506771484513
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ARAF,Serine/threonine-protein kinase A-Raf,42463,126,0.87 [0.67-1.14],0.3192261162070237
Chapter XI Diseases of the digestive system,Alcoholic liver disease,AREG,Amphiregulin,49510,148,3.54 [2.92-4.30],1.4286966777455535e-37
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ARF6,ADP-ribosylation factor 6,43071,128,0.95 [0.81-1.10],0.4903323613570813
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ARFIP1,Arfaptin-1,43180,130,0.90 [0.71-1.15],0.4093198998123519
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ARG1,Arginase-1,49440,145,0.73 [0.55-0.97],0.0302982596356852
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ARG2,"Arginase-2, mitochondrial",43049,127,0.98 [0.66-1.47],0.9334726139570224
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ARHGAP1,Rho GTPase-activating protein 1,48578,144,0.92 [0.66-1.27],0.5985317184856689
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ARHGAP25,Rho GTPase-activating protein 25,48578,144,0.84 [0.65-1.08],0.1770955718588319
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ARHGAP30,Rho GTPase-activating protein 30,42463,126,1.10 [0.72-1.69],0.66030949589825
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ARHGAP45,Rho GTPase-activating protein 45,42307,127,0.81 [0.65-1.00],0.0451002984989902
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ARHGAP5,Rho GTPase-activating protein 5,41724,127,0.88 [0.69-1.13],0.3165356665897437
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ARHGEF1,Rho guanine nucleotide exchange factor 1,43149,128,0.87 [0.73-1.05],0.1588286759584232
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ARHGEF10,Rho guanine nucleotide exchange factor 10,43180,130,0.91 [0.76-1.09],0.3113137275791909
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ARHGEF12,Rho guanine nucleotide exchange factor 12,49667,147,0.80 [0.69-0.92],0.0016655192018147
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ARHGEF5,Rho guanine nucleotide exchange factor 5,41859,122,1.32 [1.09-1.60],0.0049618795137718
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ARID3A,AT-rich interactive domain-containing protein 3A,41859,122,1.38 [0.94-2.03],0.0987134540489248
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ARID4B,AT-rich interactive domain-containing protein 4B,48597,148,0.97 [0.69-1.37],0.8823380639159286
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ARL13B,ADP-ribosylation factor-like protein 13B,41817,121,0.84 [0.64-1.09],0.1827694937660126
