Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,DPEP1,Dipeptidase 1,50977,728,0.96 [0.84-1.10],0.545053198212861
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,DPEP2,Dipeptidase 2,51227,734,1.09 [0.87-1.36],0.4602948373148123
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,DPP10,Inactive dipeptidyl peptidase 10,51387,739,1.64 [1.40-1.91],3.5313603208388564e-10
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,DPP4,Dipeptidyl peptidase 4,50503,736,1.84 [1.50-2.27],9.761369148060017e-09
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,DPP6,Dipeptidyl aminopeptidase-like protein 6,51227,734,1.26 [1.05-1.53],0.0138376951999823
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,DPP7,Dipeptidyl peptidase 2,51046,739,1.54 [1.39-1.70],3.312734326874873e-16
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,DPT,Dermatopontin,52096,750,1.34 [1.04-1.73],0.0228285279159376
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,DPY30,Protein dpy-30 homolog,51739,744,1.44 [1.31-1.57],2.841247749849962e-15
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,DRAXIN,Draxin,51062,728,1.22 [1.05-1.42],0.0091977701852374
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,DRG2,Developmentally-regulated GTP-binding protein 2,51227,734,1.06 [0.94-1.18],0.3495362519079412
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,DSC2,Desmocollin-2,50898,717,1.67 [1.40-1.98],1.0216667724753752e-08
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,DSCAM,Down syndrome cell adhesion molecule,44664,625,1.47 [1.20-1.81],0.000239542567611
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,DSG2,Desmoglein-2,51475,728,0.58 [0.45-0.73],6.521493511654136e-06
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,DSG3,Desmoglein-3,51733,740,0.98 [0.81-1.18],0.79619362204838
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,DSG4,Desmoglein-4,51064,732,0.90 [0.79-1.02],0.0940966793506114
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,DTD1,D-aminoacyl-tRNA deacylase 1,43761,617,1.10 [1.01-1.20],0.0325028307870255
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,DTNB,Dystrobrevin beta,44448,622,1.86 [1.63-2.13],2.8199390514264335e-19
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,DTX2,Probable E3 ubiquitin-protein ligase DTX2,43516,610,1.00 [0.88-1.13],0.9830648222880156
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,DTX3,Probable E3 ubiquitin-protein ligase DTX3,51227,734,1.28 [0.99-1.66],0.0592721201016468
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,DTYMK,Thymidylate kinase,44738,627,1.09 [0.98-1.22],0.1113619327126796
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,DUOX2,Dual oxidase 2,50517,724,1.00 [0.91-1.10],0.990586558312758
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,DUSP13,Dual specificity protein phosphatase 13 isoform A,44533,623,1.07 [0.89-1.27],0.4730780098787476
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,DUSP29,Dual specificity phosphatase 29,43516,610,1.01 [0.90-1.13],0.8818880509663747
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,DUSP3,Dual specificity protein phosphatase 3,50258,704,1.00 [0.92-1.08],0.9758590816952456
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,DUT,"Deoxyuridine 5'-triphosphate nucleotidohydrolase, mitochondrial",44550,622,1.08 [1.01-1.16],0.0337670221011407
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,DXO,Decapping and exoribonuclease protein,44635,623,1.13 [0.96-1.33],0.1457568562112845
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,DYNC1H1,Cytoplasmic dynein 1 heavy chain 1,44533,623,1.14 [0.98-1.31],0.0872199458025553
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,DYNLT1,Dynein light chain Tctex-type 1,43516,610,1.15 [1.05-1.25],0.002420433374376
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,DYNLT3,Dynein light chain Tctex-type 3,44533,623,1.01 [0.85-1.20],0.9329303386321046
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,EBAG9,Receptor-binding cancer antigen expressed on SiSo cells,51062,728,1.10 [1.02-1.18],0.0083591083777401
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,EBI3_IL27,Interleukin-27,51824,745,1.51 [1.24-1.85],5.346077624882341e-05
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ECE1,Endothelin-converting enzyme 1,50258,704,1.26 [1.05-1.51],0.0118036213568412
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ECHDC3,"Enoyl-CoA hydratase domain-containing protein 3, mitochondrial",44738,627,1.74 [1.61-1.87],1.1251482946117344e-48
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ECHS1,"Enoyl-CoA hydratase, mitochondrial",43550,617,1.42 [1.32-1.53],2.9503300045226224e-20
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ECI2,Enoyl-CoA delta isomerase 2,43272,611,1.21 [1.08-1.36],0.0009340791733815
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ECM1,Extracellular matrix protein 1,43580,609,1.14 [0.92-1.42],0.2306680083890194
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ECSCR,Endothelial cell-specific chemotaxis regulator,43301,603,1.00 [0.86-1.17],0.9586393783868978
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,EDA2R,Tumor necrosis factor receptor superfamily member 27,51901,745,1.42 [1.21-1.68],2.23368483529508e-05
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,EDAR,Tumor necrosis factor receptor superfamily member EDAR,51387,739,1.00 [0.93-1.07],0.900792751393562
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,EDDM3B,Epididymal secretory protein E3-beta,44533,623,0.96 [0.83-1.11],0.5746381305283279
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,EDEM2,ER degradation-enhancing alpha-mannosidase-like protein 2,43272,611,1.03 [0.83-1.27],0.7775323963521988
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,EDF1,Endothelial differentiation-related factor 1,44664,625,1.09 [0.98-1.21],0.1134684597845103
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,EDIL3,EGF-like repeat and discoidin I-like domain-containing protein 3,50517,724,1.26 [1.05-1.51],0.0120156295218414
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,EDN1,Endothelin-1,43550,617,1.51 [1.16-1.95],0.0018348530681813
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,EDNRB,Endothelin receptor type B,43445,603,1.16 [0.99-1.36],0.0704417257557848
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,EEF1D,Elongation factor 1-delta,44738,627,1.15 [1.06-1.24],0.0008000144384432
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,EFCAB14,EF-hand calcium-binding domain-containing protein 14,44550,622,1.52 [1.22-1.90],0.0002407715131927
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,EFCAB2,Dynein regulatory complex protein 8,43926,615,1.32 [1.08-1.62],0.0079267893634094
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,EFEMP1,EGF-containing fibulin-like extracellular matrix protein 1,51583,747,1.38 [1.13-1.69],0.0017715087751449
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,EFHD1,EF-hand domain-containing protein D1,44664,625,1.34 [1.11-1.62],0.0024407747563303
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,EFNA1,Ephrin-A1,51390,726,1.72 [1.39-2.14],8.256747389187818e-07
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,EFNA4,Ephrin-A4,50977,726,2.25 [1.89-2.69],1.8024624140209903e-19
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,EFNB2,Ephrin-B2,43516,610,0.95 [0.83-1.09],0.4583950679114756
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,EGF,Pro-epidermal growth factor,51352,739,1.08 [1.01-1.15],0.0200821214098915
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,EGFL7,Epidermal growth factor-like protein 7,50249,720,1.43 [1.23-1.65],2.47975573635781e-06
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,EGFLAM,Pikachurin,44550,622,1.40 [1.12-1.76],0.0035989273737786
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,EGFR,Epidermal growth factor receptor,52096,750,0.45 [0.31-0.67],6.23814724521572e-05
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,EGLN1,Egl nine homolog 1,51387,739,1.31 [1.20-1.42],1.5595191815083134e-10
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,EHBP1,EH domain-binding protein 1,44738,627,1.13 [1.02-1.25],0.0181802411997641
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,EHD3,EH domain-containing protein 3,43550,617,1.06 [0.99-1.13],0.0948597228891686
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,EIF1AX,"Eukaryotic translation initiation factor 1A, X-chromosomal",44635,623,1.01 [0.88-1.16],0.8552489257832249
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,EIF2AK2,"Interferon-induced, double-stranded RNA-activated protein kinase",44383,620,1.10 [1.03-1.18],0.005566299318769
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,EIF2AK3,Eukaryotic translation initiation factor 2-alpha kinase 3,43272,611,0.98 [0.87-1.11],0.799960367870743
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,EIF2S2,Eukaryotic translation initiation factor 2 subunit 2,43550,617,1.23 [1.04-1.46],0.0166689469852488
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,EIF4B,Eukaryotic translation initiation factor 4B,51062,728,1.15 [1.02-1.29],0.0195197068018907
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,EIF4E,Eukaryotic translation initiation factor 4E,43445,603,1.08 [0.99-1.18],0.0771945882544743
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,EIF4EBP1,Eukaryotic translation initiation factor 4E-binding protein 1,51461,742,1.13 [1.03-1.25],0.0099638591304469
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,EIF4G1,Eukaryotic translation initiation factor 4 gamma 1,52026,747,1.15 [1.08-1.23],2.4633350828525173e-05
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,EIF4G3,Eukaryotic translation initiation factor 4 gamma 3,44664,625,1.07 [0.96-1.20],0.2303005181794319
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,EIF5,Eukaryotic translation initiation factor 5,43272,611,1.08 [0.92-1.28],0.3447448252947305
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,EIF5A,Eukaryotic translation initiation factor 5A-1,50494,726,0.92 [0.74-1.16],0.4908418232750033
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ELAC1,Zinc phosphodiesterase ELAC protein 1,44664,625,1.08 [0.98-1.18],0.1105945861698432
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ELAVL4,ELAV-like protein 4,43301,603,1.08 [0.99-1.18],0.0730666829697737
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ELN,Elastin,44738,627,1.23 [1.00-1.52],0.0506299181167659
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ELOA,Elongin-A,51227,734,1.26 [1.15-1.38],1.007468562324617e-06
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ELOB,Elongin-B,43272,611,1.04 [0.86-1.27],0.6617970448936343
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ENAH,Protein enabled homolog,50494,726,1.29 [1.13-1.47],0.0001234416598088
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ENDOU,Poly(U)-specific endoribonuclease,41304,588,0.98 [0.85-1.14],0.841832528371272
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ENG,Endoglin,52096,750,2.14 [1.49-3.07],3.825096245984509e-05
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ENO1,Alpha-enolase,51407,732,1.09 [1.01-1.19],0.0372083585256186
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ENO2,Gamma-enolase,51915,741,1.06 [0.96-1.16],0.2781124400712079
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ENO3,Beta-enolase,43550,617,1.52 [1.37-1.68],2.411854550700752e-15
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ENOPH1,Enolase-phosphatase E1,44533,623,0.86 [0.73-1.01],0.0649407796608072
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ENOX2,Ecto-NOX disulfide-thiol exchanger 2,43272,611,1.04 [0.79-1.37],0.7795673200648927
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ENPEP,Glutamyl aminopeptidase,43272,611,1.25 [1.09-1.43],0.0013887126465192
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ENPP2,Ectonucleotide pyrophosphatase/phosphodiesterase family member 2,52096,750,2.02 [1.64-2.49],6.956474347348102e-11
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ENPP5,Ectonucleotide pyrophosphatase/phosphodiesterase family member 5,51684,744,0.89 [0.77-1.03],0.115950797130968
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ENPP6,Glycerophosphocholine cholinephosphodiesterase ENPP6,43550,617,0.84 [0.68-1.04],0.1015381702697827
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ENPP7,Ectonucleotide pyrophosphatase/phosphodiesterase family member 7,49874,720,1.53 [1.42-1.65],5.772236129599048e-28
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ENSA,Alpha-endosulfine,44533,623,1.02 [0.88-1.18],0.8045790277576521
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ENTPD2,Ectonucleoside triphosphate diphosphohydrolase 2,50249,720,1.66 [1.47-1.88],5.389755767608444e-16
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ENTPD5,Ectonucleoside triphosphate diphosphohydrolase 5,50517,724,0.75 [0.55-1.01],0.0596398973658322
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ENTPD6,Ectonucleoside triphosphate diphosphohydrolase 6,50517,724,2.24 [1.70-2.95],1.092238000564378e-08
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ENTR1,Endosome-associated-trafficking regulator 1,43550,617,1.57 [1.42-1.74],6.9951683329808655e-19
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,EP300,Histone acetyltransferase p300,43445,603,1.17 [0.92-1.48],0.1935739756514828
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,EPB41L5,Band 4.1-like protein 5,43516,610,0.91 [0.80-1.04],0.166991307700361
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,EPCAM,Epithelial cell adhesion molecule,51430,741,1.01 [0.94-1.08],0.7945015914293089
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,EPGN,Epigen,44533,623,1.06 [0.91-1.24],0.4395560407734887
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,EPHA1,Ephrin type-A receptor 1,51599,744,1.53 [1.25-1.86],2.7571233041104684e-05
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,EPHA10,Ephrin type-A receptor 10,50258,704,0.97 [0.88-1.08],0.6185572131560723
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,EPHA2,Ephrin type-A receptor 2,49604,704,1.90 [1.59-2.27],2.1569926190472533e-12
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,EPHA4,Ephrin type-A receptor 4,43761,617,1.35 [1.03-1.76],0.0274184885033743
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,EPHB4,Ephrin type-B receptor 4,52096,750,1.41 [1.10-1.81],0.0064571714147233
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,EPHB6,Ephrin type-B receptor 6,50977,728,1.16 [0.95-1.43],0.1438418648592977
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,EPHX2,Bifunctional epoxide hydrolase 2,50517,724,1.24 [1.14-1.35],1.054032857843998e-06
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,EPN1,Epsin-1,43926,615,1.05 [0.88-1.24],0.6006686921566422
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,EPO,Erythropoietin,51387,739,1.10 [1.02-1.19],0.0147976579143015
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,EPPK1,Epiplakin,43550,617,1.11 [1.01-1.23],0.0374708495901729
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,EPS8L2,Epidermal growth factor receptor kinase substrate 8-like protein 2,51816,744,2.67 [2.28-3.14],8.708870993964069e-34
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ERBB2,Receptor tyrosine-protein kinase erbB-2,51622,740,3.99 [3.17-5.02],3.1548676233320206e-32
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ERBB3,Receptor tyrosine-protein kinase erbB-3,51262,741,2.37 [1.74-3.23],4.877114276475955e-08
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ERBB4,Receptor tyrosine-protein kinase erbB-4,51622,740,0.88 [0.68-1.15],0.3472306052404057
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ERBIN,Erbin,51227,734,1.08 [1.01-1.15],0.0196709411489494
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ERC2,ERC protein 2,43516,610,0.96 [0.86-1.07],0.4488858333435369
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ERCC1,DNA excision repair protein ERCC-1,43142,599,0.82 [0.63-1.06],0.1324583707623604
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,EREG,Proepiregulin,50977,728,1.12 [1.03-1.21],0.0053144535294419
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ERI1,3'-5' exoribonuclease 1,43926,615,1.24 [1.00-1.53],0.0461947673154143
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ERMAP,Erythroid membrane-associated protein,43445,603,1.27 [1.07-1.50],0.0068108738036267
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ERN1,Serine/threonine-protein kinase/endoribonuclease IRE1,44533,623,1.56 [1.31-1.85],3.1601769458077925e-07
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ERP29,Endoplasmic reticulum resident protein 29,43761,617,1.08 [1.02-1.16],0.0145179831352891
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ERP44,Endoplasmic reticulum resident protein 44,51143,731,1.70 [1.32-2.17],2.929181158776649e-05
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ERVV-1,Endogenous retrovirus group V member 1 Env polyprotein,43272,611,0.81 [0.67-0.98],0.0267607186469771
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ESAM,Endothelial cell-selective adhesion molecule,52096,750,1.36 [1.12-1.65],0.0015540603650239
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ESM1,Endothelial cell-specific molecule 1,51430,741,0.97 [0.80-1.17],0.7512844212559164
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ESPL1,Separin,43142,599,0.99 [0.86-1.14],0.9393709280355824
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ESR1,Estrogen receptor,43445,603,1.01 [0.88-1.16],0.8522307650491769
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ESYT2,Extended synaptotagmin-2,44635,623,1.08 [0.98-1.18],0.1023375144279689
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,EVI2B,Protein EVI2B,43142,599,1.08 [0.90-1.31],0.4058626761812919
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,EVI5,Ecotropic viral integration site 5 protein homolog,43445,603,1.11 [1.02-1.21],0.0204866186226447
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,EVPL,Envoplakin,43926,615,1.12 [0.90-1.41],0.3179614069222467
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,EXOSC10,Exosome component 10,43272,611,0.97 [0.85-1.11],0.6187253724505726
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,EXTL1,Exostosin-like 1,43272,611,0.89 [0.75-1.06],0.1840868598722044
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,EZR,Ezrin,51915,741,1.92 [1.51-2.45],1.131078999474311e-07
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,F10,Coagulation factor X,44780,630,1.42 [1.11-1.81],0.0052635111979533
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,F11,Coagulation factor XI,44161,619,0.95 [0.74-1.24],0.726712782901147
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,F11R,Junctional adhesion molecule A,51475,728,1.29 [1.15-1.44],7.485727995279429e-06
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,F12,Coagulation factor XII,44808,628,1.25 [1.04-1.52],0.0183728677997849
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,F13B,Coagulation factor XIII B chain,44562,623,0.97 [0.72-1.31],0.8525880569451308
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,F2,Prothrombin,44808,628,1.09 [0.66-1.81],0.739327936094344
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,F2R,Proteinase-activated receptor 1,51600,744,1.20 [1.07-1.34],0.0013295457363724
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,F3,Tissue factor,51584,739,0.92 [0.73-1.17],0.4995829900644137
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,F7,Coagulation factor VII,51582,746,2.23 [1.81-2.75],6.589097772148233e-14
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,F9,Coagulation factor IX,51584,747,3.40 [2.41-4.79],2.986807600367207e-12
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,FABP1,"Fatty acid-binding protein, liver",51430,741,1.44 [1.36-1.53],4.543680586066342e-32
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,FABP2,"Fatty acid-binding protein, intestinal",51461,742,1.03 [0.95-1.12],0.4798759476388855
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,FABP3,"Fatty acid-binding protein, heart",44738,627,1.36 [1.19-1.55],7.701761043473378e-06
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,FABP4,"Fatty acid-binding protein, adipocyte",52096,750,1.70 [1.52-1.89],1.1473749130768503e-20
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,FABP5,Fatty acid-binding protein 5,51746,740,1.25 [1.14-1.37],1.650226649733406e-06
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,FABP6,Gastrotropin,50438,723,0.99 [0.88-1.11],0.8759681449633865
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,FABP9,Fatty acid-binding protein 9,51387,739,0.93 [0.83-1.04],0.2043003549287532
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,FADD,FAS-associated death domain protein,51461,742,1.05 [0.97-1.15],0.229050676072322
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,FAM13A,Protein FAM13A,44550,622,1.07 [0.95-1.19],0.2715513156256935
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,FAM171A2,Protein FAM171A2,44664,625,1.03 [0.98-1.08],0.1869831673490287
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,FAM171B,Protein FAM171B,44533,623,1.24 [0.97-1.60],0.0905186435770601
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,FAM172A,Cotranscriptional regulator FAM172A,43550,617,1.07 [0.95-1.22],0.2574281231230165
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,FAM20A,Pseudokinase FAM20A,44738,627,2.62 [2.11-3.27],8.915457329722283e-18
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,FAM3B,Protein FAM3B,51227,734,1.40 [1.17-1.68],0.0002611700229656
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,FAM3C,Protein FAM3C,51385,742,1.69 [1.37-2.08],6.558625714772422e-07
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,FAM3D,Protein FAM3D,44550,622,1.14 [1.04-1.25],0.0037354306808857
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,FAP,Prolyl endopeptidase FAP,52096,750,1.36 [1.08-1.71],0.0083739399754578
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,FARSA,Phenylalanine--tRNA ligase alpha subunit,43516,610,1.04 [0.93-1.16],0.4781351409444061
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,FAS,Tumor necrosis factor receptor superfamily member 6,51926,749,1.65 [1.46-1.86],3.465408137547772e-16
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,FASLG,Tumor necrosis factor ligand superfamily member 6,52026,747,0.77 [0.65-0.91],0.0023792561206056
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,FBLN2,Fibulin-2,44744,629,1.60 [1.28-2.00],4.157157172807043e-05
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,FBN2,Fibrillin-2,43516,610,0.99 [0.87-1.13],0.9322678446842788
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,FBP1,"Fructose-1,6-bisphosphatase 1",51461,742,1.54 [1.43-1.66],2.596960840125304e-30
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,FCAMR,High affinity immunoglobulin alpha and immunoglobulin mu Fc receptor,44738,627,1.84 [1.67-2.02],2.052764593546429e-36
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,FCAR,Immunoglobulin alpha Fc receptor,51387,739,1.49 [1.31-1.71],2.3167005465479084e-09
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,FCER1A,High affinity immunoglobulin epsilon receptor subunit alpha,44664,625,1.13 [0.82-1.55],0.4587078868766379
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,FCER2,Low affinity immunoglobulin epsilon Fc receptor,51475,728,1.26 [1.11-1.42],0.000217632120427
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,FCGR2A,Low affinity immunoglobulin gamma Fc region receptor II-a,51246,744,1.17 [1.04-1.32],0.0089280251070315
