Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ADAM9,Disintegrin and metalloproteinase domain-containing protein 9,44550,622,1.94 [1.55-2.41],4.283797612986418e-09
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ADAMTS1,A disintegrin and metalloproteinase with thrombospondin motifs 1,43445,603,1.06 [0.83-1.36],0.6498065181715782
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ADAMTS13,A disintegrin and metalloproteinase with thrombospondin motifs 13,52096,750,2.28 [1.73-2.99],2.9456986190734836e-09
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ADAMTS15,A disintegrin and metalloproteinase with thrombospondin motifs 15,51227,734,1.74 [1.49-2.03],2.909817909125326e-12
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ADAMTS16,A disintegrin and metalloproteinase with thrombospondin motifs 16,50517,724,1.23 [1.04-1.46],0.0178202535103543
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ADAMTS4,A disintegrin and metalloproteinase with thrombospondin motifs 4,43445,603,1.14 [0.92-1.41],0.2195182027931453
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ADAMTS8,A disintegrin and metalloproteinase with thrombospondin motifs 8,51622,740,0.86 [0.74-0.99],0.0329223451680556
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ADAMTSL2,ADAMTS-like protein 2,44744,629,3.79 [3.24-4.44],2.342794392322337e-61
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ADAMTSL4,ADAMTS-like protein 4,43550,617,1.76 [1.30-2.39],0.0002774289326592
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ADAMTSL5,ADAMTS-like protein 5,44738,627,0.83 [0.69-1.01],0.0663284434360708
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ADCYAP1R1,Pituitary adenylate cyclase-activating polypeptide type I receptor,50249,720,1.07 [0.90-1.27],0.4349828357001772
